Gene,HGNC Symbol,Friendly Name,Entrez ID,Pathway,Therapy Type,Description,IO_target_URL
CD80 (CD80),CD80,CD80,941,Toll-like Receptor Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"CD80 is a ligand for CD28 and CTLA-4, and it is expressed on antigen-presenting cells such as B-cells, macrophages, monocytes, and dendritic cells. The binding of CD80 to CD28 leads to T cell proliferation and serves as the essential co-stimulatory signal, or the secondary signal for T cell activation.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CD80
C5AR1 (CD88),C5AR1,CD88,728,Complement system,Targeted by Other Immuno-Oncology Therapy Type,"CD88 is the complement system receptor, whose binding to ligand C5a leads to strong inflammatory response.",
CDH3 (CDH3),CDH3,CDH3,1001,Cell adhesion molecules (CAMs),Targeted by Other Immuno-Oncology Therapy Type,CDH3 is a calcium-dependent cell-cell adhesion glycoprotein.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CDH3
MST1R (CDw136),MST1R,CDw136,4486,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Other immunomodulator,CDw136 has associative function with c-MET. CDw136 is shown to be interacted with Grb2,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CDw136
CEACAM1 (CEACAM1),CEACAM1,CEACAM1,634,Innate Immune System,Other immunomodulator,"CEACAM1 is a member of CEA family and it is normally only expressed in cells at embryonic stage. However, certain cancers express this molecule at mature stages and therefore a target for cancer therapies.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CEACAM1
CEACAM5 (CEACAM5),CEACAM5,CEACAM5,1048,Innate Immune System,Other immunomodulator,"CEACAM5 is a member of CEA family and it is normally only expressed in cells at embryonic stage. However, certain cancers express this molecule at mature stages and therefore a target for cancer therapies.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CEACAM5
CEACAM6 (CEACAM6),CEACAM6,CEACAM6,4680,Innate Immune System,Other immunomodulator,"CEACAM6 is a member of CEA family and it is normally only expressed in cells at embryonic stage. However, certain cancers express this molecule at mature stages and therefore a target for cancer therapies.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CEACAM6
CLDN18 (Claudin 18),CLDN18,Claudin 18,51208,Tight junction,Targeted by Other Immuno-Oncology Therapy Type,"Claudin-18 belongs to claudin family, and it contributes to the formation of the tight junction strands in epithelial cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;Claudin 18
CLDN6 (Claudin 6),CLDN6,Claudin 6,9074,Tight junction,Targeted by Other Immuno-Oncology Therapy Type,"Claudin-6 belongs to claudin family, and it contributes to the formation of the tight junction strands in epithelial cells.",
CLEC12A (CLEC12A),CLEC12A,CLEC12A,160364,Innate Immune System,Targeted by Other Immuno-Oncology Therapy Type,CLEC12A is highly expressed in acute myeloid leukemia cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CLEC12A
MET (cMET),MET,cMET,4233,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,"C-MET is a tyrosine kinase receptor, and its natural ligands are HGF and its spliced forms. High expression of c-MET associates with poor prognosis.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;cMET
PTGS1 (COX),PTGS1,COX,5742,Cox pathway,Other immunomodulator,"COX is an enzyme that produces prostanoids, which leads to inflammation and pain. Inhibition of COX relieve inflammation and pain.",
PTGS2 (COX-2),PTGS2,COX-2,5743,Interleukin-10 signaling,Other immunomodulator,"COX-2 is one type of COX. COX is an enzyme that produces prostanoids, which leads to inflammation and pain. Inhibition of COX relieve inflammation and pain.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;COX-2
CPEB4 (CPEG4),CPEB4,CPEG4,80315,Glucocorticoid Receptor Pathway,Other immunomodulator,CPEG4 is highly expressed in cancer cells and therefore a target for cancer therapies such as oncolytic virus.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CPEG4
CRLF2 (CRLF2),CRLF2,CRLF2,64109,JAK/STAT Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"CRLF2 can forms a complex with TSLP and IL7R, and its engagement leads to the activation of JAK/STAT pathway as well as the cell proliferation.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CRLF2
SLAMF7 (CS1),SLAMF7,CS1,57823,Adaptive Immune System,Targeted by Other Immuno-Oncology Therapy Type,"CS1 is highly expressed in multiple myeloma cells, and it is a target for cancer cell therapies and monoclonal antibodies.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CS1
CSF1 (CSF1),CSF1,CSF1,1435,Differention of Dendritic Cells,Other immunomodulator,CSF1 differentiates hematopoietic stem cells into the macrophages or other related cell types.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CSF1
CSF1R (CSF1R),CSF1R,CSF1R,1436,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Other immunomodulator,"CSF1R is the receptor of CSF1, and the activation of CSF1R leads to the differentiation to macrophages and the survival of the cells too. CSF1R is highly expressed in tumor-associated macrophages, which take immunosuppressive role in tumors. Therefore, CSF1R is a popular target in immuno-oncology.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CSF1R
CTCFL (CTCFL),CTCFL,CTCFL,140690,Antigen,Targeted by Other Immuno-Oncology Therapy Type,CTCFL is highly expressed in certain tumor cells and therefore is a target for cancer vaccines that are based on peptides derived from this protein.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CTCFL
CTLA4 (CTLA-4),CTLA4,CTLA-4,1493,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"CTLA-4 binds to CD80 or CD88 at much higher affinity than these two molecules binding to CD28. CTLA-4 therefore hijack the ligands from CD28, whose activation is essential for T cell activation and proliferation. CTLA-4 is a checkpoint molecule of T cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CTLA-4
CX3CR1 (CX3CR1),CX3CR1,CX3CR1,1524,Chemokine signaling pathway,Other immunomodulator,CX3CR1 is the receptor for CX3CL1. CX3CR1 involves in the adhesion and migration of leukocytes.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CX3CR1
CXCL1 (CXCL1),CXCL1,CXCL1,2919,Cytokine-cytokine receptor interaction,Other immunomodulator,"CXCL1 binds to CXCR2. CXCL is expressed by macrophages, neutrophils, and epithelial cells. It is also involved in renal cell carcinoma cell proliferation and therefore a target for this cancer.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CXCL1
CXCL12 (CXCL12),CXCL12,CXCL12,6387,Chemokine signaling pathway,Other immunomodulator,"CXCL12 is expressed in wide range of tissues, and it binds to CXCR4 and CXCR7. CXCL12 is a strong chemokine and its binding to CXCR4 leads to increased metastasis for certain tumor cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CXCL12
PPBP (CXCL7),PPBP,CXCL7,5473,Chemokine signaling pathway,Other immunomodulator,CXCL7 is involved in tumor migration and proliferation. Neutralization of this cytokine may prevent tumor growth.,
CXCR1 (CXCR1),CXCR1,CXCR1,3577,Chemokine signaling pathway,Other immunomodulator,"CXCR1 is the receptor for IL-8, and its activation is important for neutrophil chemotaxis and activation. CXCR1 is highly expressed in certain malignant melanoma cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CXCR1
CXCR2 (CXCR2),CXCR2,CXCR2,3579,Chemokine signaling pathway,Other immunomodulator,"CXCR1 is the receptor for IL-8, and its activation is important for neutrophil chemotaxis and activation. CXCR2 also binds to CXCL1, CXCL2, CXCL3, and CXCL5.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CXCR2
CXCR4 (CXCR4),CXCR4,CXCR4,7852,Chemokine signaling pathway,Other immunomodulator,"CXCR4 binds to CXCL12, which is expressed in wide range of tissues. Blocking of CXCR4 leads to the release of hematopoietic stem cells release into the blood. Drugs antagonizing CXCR4 is being used to increase the blood levels of stem cells.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;CXCR4
CXCR5 (CXCR5),CXCR5,CXCR5,643,Chemokine signaling pathway,Other immunomodulator,"CXCR5 is the receptor of CXCL13, and its activation leads to the T cell migration into the B cell zone in the lymph nodes. Certain cancer cells rely on the signal from CXCR5 to proliferate and inhibition of this pathway prevent cancer growth.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CXCR5
CXCR7 (CXCR7),CXCR7,CXCR7,57007,Chemokine signaling pathway,Other immunomodulator,CXCR7 is the receptor for chemokines CXCL11 and CXCL12.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;CXCR7
TYMS (Cytosine deaminase),TYMS,Cytosine deaminase,7298,One carbon metabolism and related pathways,Targeted by Other Immuno-Oncology Therapy Type,"Cytosine deaminase that converts the prodrug (5 FC), co-administered along with these cells to the active cytotoxic agent (5 FU). This molecule is encoded by the stem cell therapy which migrate into tumor bed and convert pro-drug into chemotherapeutic agent.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;Cytosine deaminase
DCK (DCK),DCK,DCK,1633,Pyrimidine metabolism,Targeted by Other Immuno-Oncology Therapy Type,DCK is being utilized to convert gemcitabine prodrug to cytotoxic cancer therapy. DCK is being incorporated into oncolytic viruses that infect cancer cells and produce DCK to produce cytotoxic drugs in local tumor microenvironment.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;DCK
EP300 (E1A),EP300,E1A,2033,Cell Cycle,T-cell targeted immunomodulator,"EP300 functions as histone acetyltransferase that regulates transcription of genes via chromatin remodeling. This enzyme plays an essential role in regulating cell growth and division, prompting cells to mature and assume specialized functions (differentiate), and preventing the growth of cancerous tumors.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;E1A
EGF (EGF),EGF,EGF,1950,EGF-EGFR Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"EGF is the ligand for EGFR. The binding of EGF to EGFR leads to the activation of this tyrosine kinase receptor pathway, leading to cell proliferation and growth.",
EGFR (EGFR),EGFR,EGFR,1956,EGF-EGFR Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"EGFR is the receptor for EGF. The binding of EGF to EGFR leads to the activation of this tyrosine kinase receptor pathway, leading to cell proliferation and growth.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;EGFR
CLEC14A (EGFR5),CLEC14A,EGFR5,161198,EGF-EGFR Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,EGFR5 is highly expressed in tumor vasculature and is a target for cancer cell therapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;EGFR5
EGFR (EGFRvIII),EGFR,EGFRvIII,1956,EGF-EGFR Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,EGFRvIII is a translational variant of EGFR. It is highly expressed in glioblastoma and a few other tumors. EGFRvIII is an important target for cancer cell therapies against glioblastoma.,
EIF2AK3 (EIF2AK3),EIF2AK3,EIF2AK3,9451,VEGFA-VEGFR2 Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"EIF2AK3 phosphorylates EIF2, and it is highly expressed in certain tumor cells. It is a target for cancer vaccine.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;EIF2AK3
ELAVL4 (ELVAL4),ELAVL4,ELVAL4,1996,Antigen,Targeted by Other Immuno-Oncology Therapy Type,ELVAL4 is a RNA-binding protein. It is highly expressed in certain tumor cells and is a target for cancer vaccine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;ELVAL4
EPCAM (EPCAM),EPCAM,EPCAM,4072,Antigen,Targeted by Other Immuno-Oncology Therapy Type,EPCAM is membrane protein and is highly expressed in certain types of tumors. It is a target for cancer vaccines and monoclonal antibodies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;EPCAM
EPHA2 (EPHA2),EPHA2,EPHA2,1969,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,EPHA2 is highly expressed in certain cancer types and is a target for cancer cell therapies and CD3-targeted bispecific antibodies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;EPHA2
EPS8 (EPS8),EPS8,EPS8,2059,EGF-EGFR Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,EPSH8 is highly expressed in certain blood cancers and is a target for CAR-T therapy.,
ERG (ERG),ERG,ERG,2078,VEGFA-VEGFR2 Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,ERG is highly expressed in certain cancer types and is a target for cancer vaccine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;ERG
FAIM3 (FAIM-3),FAIM3,FAIM-3,9214,MAPK Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,FAIM-3 is highly expressed by certain cancer types and is a target for cancer cell therapy.,
FAP (FAP),FAP,FAP,2191,Antigen,Targeted by Other Immuno-Oncology Therapy Type,FAP is highly expressed in human carcinomas. It is a target for cancer vaccines and oncolytic viruses.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;FAP
FGF2 (FGF2),FGF2,FGF2,2247,MAPK signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,"FGF2 is the ligand for FGFR, and the association of the 2 molecules activates FGFR, which leads to cell proliferation.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;FGF2
FN1 (FN1),FN1,FN1,2335,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,"FN1 is a component of extracellular matrix and it binds to integrins from the cell. FN1 plays an important role in cell adhesion, growth, migration, and differentiation. Due to its high expression in cancer, FN1 is a target for cancer vaccine.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;FN1
FOLH1 (PSMA),FOLH1,PSMA,2346,Amino Acid metabolism,Targeted by Other Immuno-Oncology Therapy Type,PSMA is an enzyme that is highly expressed in human prostate cancer. PSMA is a popular target for prostate cancer by various cancer therapy types.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;PSMA
FOLR1 (FOLR1),FOLR1,FOLR1,2348,Folate Metabolism,Targeted by Other Immuno-Oncology Therapy Type,FOLR1 is the receptor for folic acid. Many cancers highly express FLOR1 and it is a target for various cancer therapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;FOLR1
FOLR2 (FOLR2),FOLR2,FOLR2,2350,Folate Metabolism,Targeted by Other Immuno-Oncology Therapy Type,FOLR2 belongs to the folic acid receptor family. It has high affinity to folic acid and is highly expressed in many cancer types.,
FOXM1 (FOXM1),FOXM1,FOXM1,2305,Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways,Targeted by Other Immuno-Oncology Therapy Type,"FOXM1 plays important role in cell cycle. Its upregulation was found in the majority of cancer types. Due to its high expression in cancer, it is a target for cancer vaccine.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;FOXM1
FSHR (FSHR),FSHR,FSHR,2492,GPCRs,Targeted by Other Immuno-Oncology Therapy Type,"FSHR is highly expressed in ovary, testis, and uterus. It is a target for cancer cell therapy against ovarian cancer.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;FSHR
LGALS1 (Galectin-1),LGALS1,Galectin-1,3956,Differention of Dendritic Cells,Other immunomodulator,Galectin-1 induces the differentiation of dendritic cells towards a phenotype that educate the T cells to take an immunosuppressive phenotype. It is secreted by tumor cells.,
GAST (Gastrin),GAST,Gastrin,2520,MAPK signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,Gastrin is a peptide hormone that induces the secretion of gastric acid (HCI). It is also highly expressed in gastric cancer and therefore a target for cancer vaccines for those cancers.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;Gastrin
CSF3R (GCSFR),CSF3R,GCSFR,1441,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Other immunomodulator,GCSFR is the receptor for GCSF. Engagement of GCSFR activates the downstream pathway that includes STAT and ERK1/2.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;GCSFR
LGALS3 (Galectin-3),LGALS3,Galectin-3,3958,Innate Immune System,Other immunomodulator,"Galectin-3 plays important role in cell-cell adhesion, cell-matrix interaction, and macrophage activation. It is highly expressed in many types of cancer and is a target for various cancer therapies.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;LGALS3
LGALS9 (Galectin-9),LGALS9,Galectin-9,3965,Innate Immune System,Other immunomodulator,"Galectin-9 is highly expressed in many blood malignancies and solid tumors, and therefore a target for therapies against this target.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;LGALS9
TNFRSF18 (GITR),TNFRSF18,GITR,8784,Development of regulatory T lymphocytes (Tregs),T-cell targeted immunomodulator,"GITR expression is elevated when T-cell is activated, and it is regarded as co-stimulatory molecule for T cells. It is a target for therapies to enhance T cell's functionality against tumors.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;GITR
CSF2 (GMCSF),CSF2,GMCSF,1437,Cytokine-cytokine receptor interaction,Other immunomodulator,GMCSF is a cytokine and it induces the stem cells to produce granulocytes and monocytes. It is used to help the recovery of white blood cells after chemotherapy.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;GMCSF
CSF2RA (GMCSFR),CSF2RA,GMCSFR,1438,Cytokine-cytokine receptor interaction,Other immunomodulator,"GMCSFR is the receptor for GMCSF, and activation of it leads to the production of white blood cell.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;GMCSFR
GNRHR (GNRHR),GNRHR,GNRHR,2798,GPCRs,Targeted by Other Immuno-Oncology Therapy Type,"The GnRHR is expressed on the surface of pituitary gonadotrope cells as well as lymphocytes, breast, ovary, and prostate. Due to its high expression in cancer of these organs, it is a target of cancer cell therapies.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;GNRHR
GOLM1 (GP73),GOLM1,GP73,51280,Antigen,Targeted by Other Immuno-Oncology Therapy Type,GP73 is over-expressed in prostate cancer.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;GP73
HSP90B1 (HSP90B1),HSP90B1,HSP90B1,7184,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,Gp96 is a chaperon protein that help the correct formation of proteins synthesized in cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;HSP90B1
GPA33 (gpA33),GPA33,gpA33,10223,Antigen,Targeted by Other Immuno-Oncology Therapy Type,A cell membrane protein highly expressed by colon cancer cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;gpA33
GPC3 (GPC3),GPC3,GPC3,2719,Antigen,Targeted by Other Immuno-Oncology Therapy Type,"GPC3 is over expressed in liver cancer, ovarian cancer, and breast cancer.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;GPC3
NR3C1 (GR),NR3C1,GR,2908,Glucocorticoid Receptor Pathway,Other immunomodulator,The binding of glucocorticoids to GR leads to the expression of genes that lead to anti-inflammatory function. Antagonist of GR may reduce the immunosuppressive function of GR.,
H3F3A (H3.3K27M),H3F3A,H3.3K27M,3020,Histone Modifications,Targeted by Other Immuno-Oncology Therapy Type,H3.3K27M is mutant form of histone protein H3.3 with a point mutation of K to M at amino acid 27. It is suggested to be a good target for cancer vaccine as this point mutation is prevalent in certain types of pediatric glioma.,
HDAC1 (HDAC1),HDAC1,HDAC1,3065,Cell Cycle,Other immunomodulator,HDAC1 removes the acetylation of histones and therefore regulate the gene expression. It is reported that HDAC1 inhibitors may reduce the immunosuppressive phenotypes of certain immune cells.,
ERBB2 (HER2),ERBB2,HER2,2064,ErbB Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,Amplification of HER2 is a hallmark of HER2+ breast cancer. HER2 is also over expressed in many other cancer types and therefore an attractive target.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;HER2
ERBB3 (HER3),ERBB3,HER3,2065,ErbB Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"HER3 is a tyrosine kinase receptor. Activation of HER3 leads to the activation of PI3K/Akt pathway. Due to its high expression in certain cancers, it is a target for cancer vaccines.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;HER3
C7orf68 (HILPDA),C7orf68,HILPDA,29923,Vitamin D Receptor Pathway,Targeted by Other Immuno-Oncology Therapy Type,HILPDA is over expressed in certain tumor due to the hypoxia. It is being pursued as a cancer vaccine target.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;HILPDA
HLA-A (HLA-A2),HLA-A,HLA-A2,3105,Proteasome Degradation,Targeted by Other Immuno-Oncology Therapy Type,HLA-A2 is a serotype of HLA-A.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;HLA-A2
CSPG4 (HMW-MAA),CSPG4,HMW-MAA,1464,Antigen,Targeted by Other Immuno-Oncology Therapy Type,HMW-MAA is over expressed in melanoma cells and a target for cancer vaccine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;HMW-MAA
SLC17A5 (HP59),SLC17A5,HP59,26503,Lysosome,Targeted by Other Immuno-Oncology Therapy Type,HP59 is over expressed in tumor vasculature. It is a target for cancer vaccine.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;HP59
HSPH1 (HSP105),HSPH1,HSP105,10808,Cellular response to heat stress,Targeted by Other Immuno-Oncology Therapy Type,HSP105 is over expressed in colorectal cancer and a target for cancer vaccines for this cancer.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;HSP105
HSPA1A (HSP70),HSPA1A,HSP70,3303,MAPK Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,HSP70 is over expressed in human melanoma and non-small cell lung cancer. It is a caner vaccine target for those cancers.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;HSP70
TNFRSF14 (HVEM),TNFRSF14,HVEM,8764,Cytokine-cytokine receptor interaction,T-cell targeted immunomodulator,HVEM is a cell membrane receptor and it is used by HSV to enter infected cells.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;HVEM
ICOS (ICOS),ICOS,ICOS,29851,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,ICOS is a CD28 family member and works as a co-stimulatory molecule for T cells. It may preferentially activate Th2 cells. It is a popular target for T cells in immuno-oncology.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;ICOS
IDH1 (IDH1),IDH1,IDH1,3417,Amino Acid metabolism,Targeted by Other Immuno-Oncology Therapy Type,"IDH1 is a an enzyme, whose product plays important role for DNA modification and therefore gene expression. IDH1 mutation is associated with poor prognosis of certain cancers, especially glioblastoma. Recent studies suggest IDH1 modulating drugs may also affect immune cells' function against cancer growth.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IDH1
IDO1 (IDO),IDO1,IDO,3620,Tryptophan metabolism,T-cell targeted immunomodulator,"IDO (encoded by IDO1 gene) is one the three enzymes that catalyze the first and rate-limiting step of in the kynurenine pathway. Kynurenine is a immunosuppressive molecule that binds to its receptor and induce immunosuppressive function on immune cells, especially T cell. Inhibiting IDO has been tested as a promising strategy to tackle the immunosuppressive microenvironment of tumors.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IDO
IDO2 (IDO2),IDO2,IDO2,169355,Tryptophan metabolism,T-cell targeted immunomodulator,IDO2 is an enzyme with similar sequence and function to IDO but IDO2 has much narrower expression among tissues and much less enzymatic activities.,
IFNAR1 (IFNAR1),IFNAR1,IFNAR1,3454,JAK/STAT Signaling Pathway,Other immunomodulator,IFNAR1 is one of the two subunits of the receptor for type I interferons. The activation of the receptor leads to the activation of downstream signaling molecules through STAT1/2 pathway.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IFNAR1
IFNB1 (IFNB),IFNB1,IFNB,3456,JAK/STAT Signaling Pathway,Other immunomodulator,"Interferon beta is the cytokine that binds to interferon receptor. It has 2 isoforms, interferon beta 1 and 2.",https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2019;Target;IFNB
IFNAR2 (IFNAR2),IFNAR2,IFNAR2,3455,JAK/STAT Signaling Pathway,Other immunomodulator,IFNAR2 is one of the two subunits of the receptor for type I interferons. The activation of the receptor leads to the activation of downstream signaling molecules through STAT1/2 pathway.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IFNAR2
IFNGR1 (IFNGR1),IFNGR1,IFNGR1,3459,JAK/STAT Signaling Pathway,Other immunomodulator,IFNGR1 is one of the two subunits of interferon-gamma receptor. The activation of the receptor leads to the activation of downstream JAK/STAT pathway that promotes inflammatory responses.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IFNGR1
IFNGR2 (IFNGR2),IFNGR2,IFNGR2,3460,JAK/STAT Signaling Pathway,Other immunomodulator,IFNGR2 is one of the two subunits of interferon-gamma receptor. The activation of the receptor leads to the activation of downstream JAK/STAT pathway that promotes inflammatory responses.,
IGF1 (IGF1),IGF1,IGF1,3479,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,IGF1 is a hormone that promotes cell growth. Its levels are elevated in certain tumors and reducing its levels is a target for cancer therapies.,https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019-09NRDDACarticle=2017;Target;IGF1
